"sep=,"
ID,ID2,Title
ALCH-00001,ALCH_000.01,KATAKAMUNA - USHINAWARETA INGARITSU [DELUXE PACK]
ALCH-00003,ALCH_000.03,CHOCOLAT MAID CAFE CURIO [LIMITED EDITION]
ALCH-00005,ALCH_000.05,HARU NO ASHIOTO - STEP OF SPRING [PAKU PAKU PACK]
ALCH-00008,ALCH_000.08,ARIA THE NATURAL ~TOOI YUME NO MIRAGE~ [LIMITED EDITION]
ALCH-00009,ALCH_000.09,HIGURASHI NO NAKU KORO NI MATSURI [FIRST PRINT LIMITED EDITION]
ALCH-00010,ALCH_000.10,KONO AOZORA NI YAKUSOKU WO - MELODY OF THE SUN AND SEA [LIMITED EDITION]
ALCH-00011,ALCH_000.11,Pure X Cure Recovery (Koi no Kyuukyuu Set)
ALCH-00014,ALCH_000.14,ARIA - THE ORIGINATION ~AOI HOSHI NO EL CIELO~ [LIMITED EDITION]
ALCH-00016,ALCH_000.16,KOISURU OTOME TO SHUGO NO TATE - THE SHIELD OF AIGIS [LIMITED EDITION]
ALCH-00028,ALCH_000.28,HANA TO OTOME NI SHUKUFUKU WO - HARUKAZE NO OKURIMONO [SAINT BOX]
ARZE-66071,ARZE_660.71,Shadow Hearts - From The New World (Starter Pack)
ATAR-05200,ATAR_052.00,Atari 5200 Emulator
CPCS-01002,CPCS_010.02,GUN SURVIVOR 3 - DINO CRISIS [WITH GUNCON2]
CPCS-01004,CPCS_010.04,MARVEL VS CAPCOM 2 [MODEM PACK]
CPCS-01005,CPCS_010.05,GUN SURVIVOR 4 - BIOHAZARD - HEROES NEVER DIE [WITH GUNCON 2]
CPCS-01007,CPCS_010.07,Hyper Street Fighter II - The Anniversary Edition (Special Anniversary Pack)
CPCS-01009,CPCS_010.09,Street Fighter III - 3rd Strike (Limited Edition)
CPCS-01020,CPCS_010.20,Monster Hunter 2 (DX Hunter Box)
CPCS-01027,CPCS_010.27,GRAND THEFT AUTO - DOUBLE PACK
CPCS-01032,CPCS_010.32,Sengoku Basara 2 (Double Pack)
CPCS-01036,CPCS_010.36,Sengoku Basara X (Limited Edition)
CPCS-01041,CPCS_010.41,FATE/UNLIMITED CODES [SP BOX]
DOOM-12345,DOOM_123.45,DOOM
GUST-00003,GUST_000.03,ATELIER IRIS - ETERNAL MANA [PREMIUM BOX]
GUST-00004,GUST_000.04,Atelier Iris - Eternal Mana 2 (Premium Box)
GUST-00006,GUST_000.06,Atelier Marie + Elie (Premium Box)
HAKU-00801,HAKU_008.01,HAKUOKI - TWIN PACK
HKID-00418,HKID_004.18,Hiiro no Kakera: Twin Pack
JALE-20003,JALE_200.03,DREAM AUDITION [LIMITED EDITION]
KOEI-00011,KOEI_000.11,Sengoku Musou (Excellent Box)
KOEI-00012,KOEI_000.12,Nobunaga no Yabou -  Online (Excellent Box)
KOEI-00023,KOEI_000.23,HARUKANARU TOKI NO NAKA DE 3 + 2
KOEI-00029,KOEI_000.29,HARUKANARU TOKI NO NAKA DE - HACHIYOUSHOU [PREMIUM BOX]
KOEI-00033,KOEI_000.33,San Goku Shi X (Anniversary Box)
KOEI-00034,KOEI_000.34,HARUKANARU TOKI NO NAKA DE - HACHIYOUSHOU [HISTORY BOX]
KOEI-00043,KOEI_000.43,Winning Post 7 (Premium Box)
KOEI-00046,KOEI_000.46,Pachi-Slot Winning Post (With Controller)
KOEI-00047,KOEI_000.47,HARUKANARU TOKI NO NAKA DE 3 - IZAYOIKI [PREMIUM BOX]
KOEI-00049,KOEI_000.49,Shin Sangoku Musou 4 - Mushouden (Premium Pack)
KOEI-00050,KOEI_000.50,Shin Sangoku Musou 4 - Mushouden (Treasure Box)
KOEI-00056,KOEI_000.56,G1 Jockey 4 (Premium Box)
KOEI-00066,KOEI_000.66,Nobunaga no Yabou: Kakushin (Premium Box)
KOEI-00068,KOEI_000.68,Pachi-Slot Nobunaga no Yabou: Tenka Sousei (Pachi-Slot Set)
KOEI-00075,KOEI_000.75,HARUKANARU TOKI NO NAKA DE 3 - UNMEI NO MEIKYUU [PREMIUM BOX]
KOEI-00106,KOEI_001.06,Neoromance Box: Triple Selection
KOEI-00107,KOEI_001.07,Neoromance Box: Angelique Selection
KOEI-00109,KOEI_001.09,San Goku Shi 11 (Premium Box)
KOEI-00110,KOEI_001.10,HARUKANARU TOKI NO NAKA DE - MAIHITOYO [PREMIUM BOX]
KOEI-00111,KOEI_001.11,HARUKANARU TOKI NO NAKA DE - HACHIYOUSHOU [TWIN PACK]
KOEI-00112,KOEI_001.12,Sengoku Musou 2 Empires(Treasure Box)
KOEI-00113,KOEI_001.13,Sengoku Musou 2 & Sengoku Musou 2 Empires Premium Box
KOEI-00114,KOEI_001.14,Dynasty Warriors Series Collection Volume 2
KOEI-20122,KOEI_201.22,KIN'IRO NO KORUDA 2 [PREMIUM BOX]
KOEI-20123,KOEI_201.23,Musou Orochi (Treasure Box)
KOEI-20125,KOEI_201.25,Musou Orochi (Super Premium Pack)
KOEI-20129,KOEI_201.29,Sengoku Musou 2 Moushouden (Premium Pack w/Sengoku Musou)
KOEI-20130,KOEI_201.30,Sengoku Musou 2 Moushouden (Super Premium Pack)
KOEI-20131,KOEI_201.31,Sengoku Musou 2 Mushouden (Treasure Box)
KOEI-20134,KOEI_201.34,KIN'IRO NO KORUDA 2 - ENCORE [PREMIUM BOX]
KOEI-20135,KOEI_201.35,Kiniro no Corda 2 Encore
KOEI-20136,KOEI_201.36,KIN'IRO NO KORUDA 2 + KINIRO NO CORDA 2 ENCORE [TWIN PACK]
KOEI-20147,KOEI_201.47,Musou Orochi - Maou Sairrin (Premium Box)
KOEI-20148,KOEI_201.48,HARUKANARU TOKI NO NAKA DE 4 [PREMIUM BOX]
KOEI-20149,KOEI_201.49,HARUKANARU TOKI NO NAKA DE 4 [TREASURE BOX]
KOEI-20153,KOEI_201.53,NEO ANGELIQUE - FULL VOICE [SUPER PREMIUM BOX]
KOEI-20162,KOEI_201.62,HARUKANARU TOKI NO NAKA DE - YUME NO UKIHASHI SPECIAL [PREMIUM BOX]
KOEI-20163,KOEI_201.63,HARUKANARU TOKI NO NAKA DE - YUME NO UKIHASHI SPECIAL [TREASURE BOX]
KOEI-20175,KOEI_201.75,KIN'IRO NO KORUDA 3 [PREMIUM BOX]
KOEI-20176,KOEI_201.76,KIN'IRO NO KORUDA 3 [TREASURE BOX]
LPMS-25482,LPMS_254.82,Yuki Katari [Renewal Version]
MAME-99901,MAME_999.01,PS2 MAME Emulator
PAPX-90203,PAPX_902.03,Gran Turismo 2000
PBPX-95201,PBPX_952.01,Utility Disc Version 1.00
PBPX-95202,PBPX_952.02,Utility Disc Version 1.01
PBPX-95206,PBPX_952.06,DVD Player Version 2.01
PBPX-95248,PBPX_952.48,Online Start-up Disc 4.0
PBPX-95299,PBPX_952.99,Mage Racing Construction
PBPX-95503,PBPX_955.03,Gran Turismo 3: A-spec
PBPX-95506,PBPX_955.06,Demo Disc
PBPX-95509,PBPX_955.09,PS2 Linux
PBPX-95517,PBPX_955.17,Network Adaptor Start-Up Disc
PBPX-95520,PBPX_955.20,Demo Disc
PBPX-95522,PBPX_955.22,Kidou Senshi Z Gundam: AEUG vs. Titans
PBPX-95523,PBPX_955.23,Gran Turismo 4 - Prologue
PBPX-95524,PBPX_955.24,Gran Turismo 4 - Prologue
PSXC-00203,PSXC_002.03,PSX Update Disc Ver. 1.31
ROSE-00001,ROSE_000.01,CRIMSON EMPIRE [DELUXE EDITION]
